city,date,event_name,scale_tier,source_url
Anchorage,2026-07-04,America250-Alaska Week of Dreams Glacier Pilots Doubleheader,1,https://www.alaskasnewssource.com/2026/07/05/america250-alaska-project-reaches-its-climax-with-baseball-filled-fourth-july/
Boston,2026-07-04,Boston Pops Fireworks Spectacular,2,https://www.mass.gov/news/governor-healey-and-boston-pops-announce-star-studded-2026-july-4-fireworks-spectacular
Boston,2026-07-11,Sail Boston 2026,3,https://www.bostonglobe.com/2026/07/06/metro/sail250-boston-sailboston-tallships/
Chicago,2026-07-04,Navy Pier Independence Day Fireworks,2,https://www.choosechicago.com/america-250/
Chicago,2026-08-15,Chicago Air and Water Show,2,https://www.wbez.org/arts-culture/2026/07/01/america-250-july-4-weekend-chicago-events-declaration-independence
Denver,2026-05-28,Freedom Plane National Tour at History Colorado Center,3,https://www.archives.gov/press/press-releases/2026/nr26-1
Denver,2026-07-03,America 250 Colorado 150 Sunset Cinema and Drone Show,2,https://www.artscomplex.com/events/detail/sunset-cinema-national-treasure
Denver,2026-08-01,Mile Long Table 2026,2,https://visitdenver.com/things-to-do/festivals-events/celebrate-america-250-colorado-250-in-denver/
Los Angeles,2026-04-17,Freedom Plane National Tour at USC Fisher Museum,3,https://www.archives.gov/press/press-releases/2026/nr26-1
Los Angeles,2026-07-04,America250 Block Party Concert at LA Memorial Coliseum,3,https://www.lacoliseum.com/events/america250-july-4-concert/
New York,2026-07-04,Sail4th 250 Parade of Sail,3,https://sail4th.org/news/sail4th-250-kicks-off-heres-whats-in-store-for-americas-2026-semiquincentennial-bash-in-nyc
Orlando,2026-07-04,Fireworks at the Fountain Lake Eola,1,https://www.centralfloridalifestyle.com/trending-stories/2026-4th-of-july-america-250-events-guide-where-to-celebrate-in-central-florida/
Seattle,2026-05-31,BAPS Charities Walk Run 2026 Seattle,1,https://www.bapscharities.org/usa/seattle/news/walk-run-2026-52/
Seattle,2026-07-30,Freedom Plane National Tour at MOHAI,3,https://www.archives.gov/press/press-releases/2026/nr26-1
